"sku","attribute_set","type","categories","cod_available","cost","description","media_gallery","has_options","image","image_label","label","meta_description","meta_keyword","meta_title","name","news_from_date","news_to_date","price","region","required_options","short_description","small_image","small_image_label","special_from_date","special_price","special_to_date","status","tax_class_id","thumbnail","thumbnail_label","url_key","url_path","visibility","weight","qty","is_in_stock","is_qty_decimal","use_config_min_sale_qty","min_sale_qty","use_config_max_sale_qty","max_sale_qty","re_skus","xre_skus","cs_skus","us_skus","simples_skus","configurable_attributes","super_attribute_pricing","ga_asso_occassions","ga_commission","ga_commission_rate","ga_discounted_price","ga_discount_percentage","ga_estimate_shipping","ga_fragile","ga_int_ship_allowed","ga_last_revision_date","ga_next_revision_date","ga_returnable","ga_shipping_weight","ga_vender","ga_vender_internal","ga_vendor_lead_time","ga_vendor_max_order_qty","ga_vendor_price","ga_volumetric_weight","color","video","apwb_size","apwu_fabric","apwu_length","apwu_pattern"
"001C1","Apparels_W_Bottomwear","simple","Apparels;; Apparels/Women;; Apparels/Womens/Bottomwear;; Apparels/Womens/Bottomwear/Churidar","yes",400,"Women's churidar which can be teamed up with multiple kurtis and kurtas. It is made from pure cotton. It's length is uptil the ankle.",,,"no selection",,,,,,"Ladies Churidar",,,1200,"Punjab",,"Women's pure cotton ankle length churidar",,,,,,1,,,,,,0,200,100,1,,,,,,,,,,,,,,"yes",10,400,0,1,"no","yes",,,"yes",200,,"Nirali",10,100,400,200,,,28,"cottn","ankle length","Checkered"
"001C2","Apparels_W_Bottomwear","simple","Apparels;; Apparels/Women;; Apparels/Womens/Bottomwear;; Apparels/Womens/Bottomwear/Churidar","yes",400,"Women's white churidar which can be teamed up with multiple kurtis and kurtas. It is made from pure cotton. It's length is uptil the ankle.",,,"ladieschuridar1.jpeg",,,,,,"Ladies Churidar",,,1200,"Punjab",,"Women's pure cotton ankle length churidar",,,,,,1,,,,,,0,200,100,1,,,,,,,,,,,,,,"yes",10,400,0,1,"no","yes",,,"yes",200,,"Nirali",10,100,400,200,"white",,28,"cotton","ankle length","Checkered"
"001Cc1","Apparels_W_Bottomwear","configured","Apparels;; Apparels/Women;; Apparels/Womens/Bottomwear;; Apparels/Womens/Bottomwear/Churidar","yes",400,"Women's black churidar which can be teamed up with multiple kurtis and kurtas. It is made from pure cotton. It's length is uptil the ankle.",,1,"ladieschuridar3.jpeg",,,,,,"Ladies Churidar",,,1500,"Punjab",1,"Women's pure cotton ankle length churidar",,,,,,1,,,,,,4,200,100,1,,,,,,,,,,"001C1,
001C2
","apwb_size,color",,,"yes",10,400,0,1,"no","yes",,,"yes",200,,"Nirali",10,100,400,200,"black",,28,"cotton","ankle length","Checkered"
"002C1","Apparels_W_Bottomwear","simple","Apparels;; Apparels/Women;; Apparels/Womens/Bottomwear;; Apparels/Womens/Bottomwear/Salwar","yes",400,"Women's salwar made from pure cotton. It is plain to highlight its bright colour.",,,"no selection",,,,,,"Ladies Salwar",,,1500,"Punjab",,"Women's pure cotton ankle length salwar",,,,,,1,,,,,,0,200,100,1,,,,,,,,,,,,,,"yes",10,400,0,1,"no","yes",,,"yes",200,,"Nirali",10,100,400,200,,,28,"cotton","ankle length","self design"
"002C2","Apparels_W_Bottomwear","simple","Apparels;; Apparels/Women;; Apparels/Womens/Bottomwear;; Apparels/Womens/Bottomwear/Salwar","yes",400,"Women's pink salwar made from pure cotton. It is plain to highlight its bright colour.",,,"ladiessalwar1.jpeg",,,,,,"Ladies Salwar",,,600,"Punjab",,"Women's pure cotton pink ankle length salwar",,,,,,1,,,,,,0,200,100,1,,,,,,,,,,,,,,"yes",10,400,0,1,"no","yes",,,"yes",200,,"Nirali",10,100,400,200,"pink",,28,"cotton","ankle length","self design"
"001CC2","Apparels_W_Bottomwear","configured","Apparels;; Apparels/Women;; Apparels/Womens/Bottomwear;; Apparels/Womens/Bottomwear/Salwar","yes",400,"Women's magenta salwar made from pure cotton. It is plain to highlight its bright colour.",,1,"ladiesalwar2.jpeg",,,,,,"Ladies Salwar",,,700,"Punjab",1,"Women's pure cotton magenta ankle length salwar",,,,,,1,,,,,,4,200,100,1,,,,,,,,,,"002C1,
002C2
","apwb_size,color",,,"yes",10,400,0,1,"no","yes",,,"yes",200,,"Nirali",10,100,400,200,"magenta",,28,"cotton","ankle length","self design"
"003C1","Apparels_W_Bottomwear","simple","Apparels;; Apparels/Women;; Apparels/Womens/Bottomwear;; Apparels/Womens/Bottomwear/Harem pants","yes",600,"Women's pure cotton harem pants. They are plain to highlight their colour. They can be teamed up with any top.",,,"no selection",,,,,,"Ladies Harem Pants",,,600,"Punjab",,"Women's pure cotton ankle length harem pants",,,,,,1,,,,,,0,200,100,1,,,,,,,,,,,,,,"yes",10,600,0,1,"no","yes",,,"yes",200,,"Nirali",10,100,400,200,,,28,"cotton","ankle length","self design"
"003C2","Apparels_W_Bottomwear","simple","Apparels;; Apparels/Women;; Apparels/Womens/Bottomwear;; Apparels/Womens/Bottomwear/Harem pants","yes",600,"Women's pure cotton black harem pants. They are plain to highlight their colour. They can be teamed up with any top.",,,"ladiesharempants1.jpeg",,,,,,"Ladies Harem Pants",,,600,"Punjab",,"Women's pure cotton black ankle length harem pants",,,,,,1,,,,,,0,200,100,1,,,,,,,,,,,,,,"yes",10,600,0,1,"no","yes",,,"yes",200,,"Nirali",10,100,400,200,"black",,28,"cotton","ankle length","self design"
"001CC3","Apparels_W_Bottomwear","configured","Apparels;; Apparels/Women;; Apparels/Womens/Bottomwear;; Apparels/Womens/Bottomwear/Harem pants","yes",600,"Women's pure cotton light blue harem pants. They are plain to highlight their colour. They can be teamed up with any top.",,1,"ladiesharempants3.jpeg",,,,,,"Ladies Harem Pants",,,600,"Punjab",1,"Women's pure cotton light blue ankle length harem pants",,,,,,1,,,,,,4,200,100,1,,,,,,,,,,"003C1","apwb_size,color",,,"yes",10,600,0,1,"no","yes",,,"yes",200,,"Nirali",10,100,400,200,"light blue",,28,"cotton","ankle length","self design"
"004C1","Apparels_W_Bottomwear","simple","Apparels;; Apparels/Women;; Apparels/Womens/Bottomwear;; Apparels/Womens/Bottomwear/Dhoti Pants","yes",500,"Women's pure cotton dhoti pants. They can be teamed up with multiple types of tops. They are self designed.",,,"no selection",,,,,,"Ladies Dhoti Pants",,,500,"Punjab",,"Women's ankle length pure cotton dhoti pants",,,,,,1,,,,,,0,200,100,1,,,,,,,,,,,,,,"yes",10,500,0,1,"no","yes",,,"yes",200,,"Nirali",10,100,500,200,,,28,"Crepe","ankle length","self design"
